매장명,작성일,리뷰내용,감정분석
달빛에구운고등어 만성점,3번째 방문,고등어조림과 구이 맛있게 잘 먹었습니다~~^^,긍정
달빛에구운고등어 만성점,1번째 방문,"난 망고가 좋아
리뷰 1,543사진 353
팔로우",긍정
달빛에구운고등어 만성점,1번째 방문,"음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기",긍정
달빛에구운고등어 만성점,1번째 방문,"생선구이 맛있어요!
셀프바에 다양한 반찬들도 많아서 좋아요",긍정
달빛에구운고등어 만성점,1번째 방문,한번씩오는데 친절하고맛있어요. 주차도 바로앞 공터주차장있어서편합니다.,긍정
달빛에구운고등어 만성점,5번째 방문,주말 점심에 이렇게 손님이 많을 줄 몰랐어요. 10분 기다리고 먹었지만 진짜 우리동네에서 최고 좋아하는 곳이예요. 멀리서 친척분들과 부모님 오셔서 모시고 갔는데 다들 식사 맛있게 하시고 좋아하셨답니다.,긍정
달빛에구운고등어 만성점,9번째 방문,"안녕하이헬로우안녕
리뷰 1,001사진 620
팔로우",중립
달빛에구운고등어 만성점,11번째 방문,"꾸준히 찾게되는 매장
가격이 갈때마다 오르는기분 +포장비라니,,,
그래도 맛있어요",긍정
달빛에구운고등어 만성점,2번째 방문,"핑크통통이모
리뷰 1,008사진 355팔로워 9
팔로우",중립
달빛에구운고등어 만성점,2번째 방문,"방문일
1.10.토
2026년 1월 10일 토요일",중립
달빛에구운고등어 어양점,1번째 방문,"모듬 시켜봤어요 음 저희는 좀 별로였어요 양념을 가자미 아닌 고등어면 좋겠어요 모듬에 무슨 생선들이 나오는지 키오스크에 표시가 되어 있었으면 좋겠어요 샐러드 바 등 사이드 음식 너무 맛있어요 배 부르게 잘 먹었어요
더보기",부정
